aac.sfsu.edu,SFS-d-aac-content-manager
ibhequity.sfsu.edu,SFS-d-ibhequity-content-manager
icce.sfsu.edu,SFS-d-icce-site-administrator
instructionalcontinuity.sfsu.edu,SFS-d-instructionalcontinuity-content-manager
"latinamericanstudies.sfsu.edu,southasianstudies.sfsu.edu,internationalrelations.sfsu.edu,irgrad.sfsu.edu",SFS-d-internationalrelations-content-manager
investiture.sfsu.edu,SFS-d-investiture-content-manager
"ir.sfsu.edu,air.sfsu.edu",SFS-d-ir-content-manager
"doit.sfsu.edu,tech.sfsu.edu,its.sfsu.edu,drupal.sfsu.edu",SFS-d-its-content-manager
jewish.sfsu.edu,SFS-d-jewish-content-manager
"journalism.sfsu.edu,www.journalism.sfsu.edu",SFS-d-journalism-content-manager
kin.sfsu.edu,SFS-d-kin-content-manager
"ltns.sfsu.edu,latino.sfsu.edu",SFS-d-latino-content-manager
"lca.sfsu.edu,artshumanities.sfsu.edu,ica.sfsu.edu,arts.sfsu.edu,cats.sfsu.edu,www.creativearts.sfsu.edu,creativestate.sfsu.edu",SFS-d-lca-content-manager
liberalstudies.sfsu.edu,SFS-d-liberalstudies-content-manager
"www.library.sfsu.edu,library.sfsu.edu,m.library.sfsu.edu",SFS-d-library-content-manager
"longmore.sfsu.edu,longmoreinstitute.sfsu.edu",SFS-d-longmoreinstitute-content-manager
maethnicstudies.sfsu.edu,SFS-d-maethnicstudies-content-manager
magazine.sfsu.edu,SFS-d-magazine-content-manager
maps.sfsu.edu,SFS-d-maps-content-manager
"puboff.sfsu.edu,marcomm.sfsu.edu,logo.sfsu.edu",SFS-d-marcomm-content-manager
math.sfsu.edu,SFS-d-math-content-manager
meis.sfsu.edu,SFS-d-meis-content-manager
metro.sfsu.edu,SFS-d-metro-content-manager
"www.persian.sfsu.edu,japanese.sfsu.edu,persian.sfsu.edu,chinese.sfsu.edu,italian.sfsu.edu,mllab.sfsu.edu,mll.sfsu.edu,french.sfsu.edu,spanish.sfsu.edu,german.sfsu.edu,fllab.sfsu.edu,russian.sfsu.edu,foreign.sfsu.edu",SFS-d-mll-content-manager
mobility.sfsu.edu,SFS-d-mobility-content-manager
morrison.sfsu.edu,SFS-d-morrison-content-manager
"museumstudies.sfsu.edu,museum.sfsu.edu",SFS-d-museum-content-manager
"www.musicdance.sfsu.edu,musicdance.sfsu.edu,music.sfsu.edu",SFS-d-music-content-manager
mystory.sfsu.edu,SFS-d-mystory-content-manager
nagpra.sfsu.edu,SFS-d-nagpra-content-manager
navigator.sfsu.edu,SFS-d-navigator-content-manager
news.sfsu.edu,SFS-d-news-content-manager
"newstudentprograms.sfsu.edu,newstudentguide.sfsu.edu",SFS-d-newstudentprograms-content-manager
"www.nursing.sfsu.edu,nursing.sfsu.edu",SFS-d-nursing-content-manager
oes.sfsu.edu,SFS-d-oes-content-manager
"oip.sfsu.edu,studyabroad.sfsu.edu",SFS-d-oip-content-manager
olli.sfsu.edu,SFS-d-olli-content-manager
"onecard.sfsu.edu,onecardonline.sfsu.edu,baypass.sfsu.edu",SFS-d-onecard-content-manager
"recruitment.sfsu.edu,outreach.sfsu.edu",SFS-d-outreach-content-manager
pace.sfsu.edu,SFS-d-pace-content-manager
parking.sfsu.edu,SFS-d-parking-content-manager
pays.sfsu.edu,SFS-d-pays-content-manager
pbk.sfsu.edu,SFS-d-pbk-content-manager
philosophy.sfsu.edu,SFS-d-philosophy-content-manager
"physics.sfsu.edu,www.physics.sfsu.edu",SFS-d-physics-content-manager
plan.sfsu.edu,SFS-d-plan-content-manager
planning.sfsu.edu,SFS-d-planning-content-manager
poetry.sfsu.edu,SFS-d-poetry-content-manager
politicalscience.sfsu.edu,SFS-d-politicalscience-content-manager
"president.sfsu.edu,president-search.sfsu.edu",SFS-d-president-content-manager
procurement.sfsu.edu,SFS-d-procurement-content-manager
psm.sfsu.edu,SFS-d-psm-content-manager
"psychology.sfsu.edu,developmentalpsych.sfsu.edu",SFS-d-psychology-content-manager
"caps.sfsu.edu,psyservs.sfsu.edu",SFS-d-psyservs-content-manager
